,facility_name,total_orders,revenue,total_cancellations,lost_rev,percent_cancel
59,Taco CSS (26744),380,7883.089999999998,9,228.14999999999998,0.02368421052631579
145,Taco CSS (867),590,12686.839999999995,9,163.96,0.015254237288135594
72,Taco CSS (26757),240,5114.860000000002,8,138.26000000000002,0.03333333333333333
27,Taco CSS (22350),139,2898.99,8,187.55000000000004,0.05755395683453238
21,Taco CSS (2029),543,11502.239999999996,8,143.95,0.014732965009208104
90,Taco CSS (30401),374,8801.539999999995,8,225.12000000000003,0.0213903743315508
140,Taco CSS (3620),396,8423.320000000003,8,116.46000000000001,0.020202020202020204
92,Taco CSS (30403),149,3357.02,8,157.87,0.053691275167785234
49,Taco CSS (26734),735,17250.730000000003,8,198.71,0.010884353741496598
5,Taco CSS (032167),202,4260.599999999999,8,169.05,0.039603960396039604
18,Taco CSS (1999),320,6661.889999999999,8,117.82,0.025
58,Taco CSS (26743),358,8201.42,8,265.49999999999994,0.0223463687150838
63,Taco CSS (26748),252,5167.16,8,213.4,0.031746031746031744
9,Taco CSS (1439),312,6620.579999999997,7,128.75,0.022435897435897436
118,Taco CSS (31393),450,9189.43000000001,7,183.10999999999999,0.015555555555555555
79,Taco CSS (27898),489,11280.220000000005,7,135.51000000000002,0.014314928425357873
129,Taco CSS (32398),374,7418.039999999999,7,137.62,0.01871657754010695
113,Taco CSS (31070),276,5692.640000000002,7,136.97,0.025362318840579712
76,Taco CSS (27890),342,7456.7800000000025,7,177.54000000000002,0.02046783625730994
7,Taco CSS (032350),101,2138.700000000001,6,101.07000000000002,0.0594059405940594
23,Taco CSS (20721),179,4094.7700000000013,6,118.81000000000002,0.0335195530726257
86,Taco CSS (30367),470,9928.88,6,125.34999999999998,0.01276595744680851
67,Taco CSS (26752),336,7049.600000000005,6,108.42999999999999,0.017857142857142856
100,Taco CSS (30413),404,9278.319999999996,5,88.60000000000001,0.012376237623762377
84,Taco CSS (29334),346,7615.460000000004,5,49.21,0.014450867052023121
31,Taco CSS (23267),164,3591.0099999999993,5,88.91999999999999,0.03048780487804878
143,Taco CSS (4360),468,10127.8,5,116.04999999999998,0.010683760683760684
71,Taco CSS (26756),392,8938.570000000003,5,107.45,0.012755102040816327
4,Taco CSS (031069),374,6814.990000000006,5,84.57000000000001,0.013368983957219251
112,Taco CSS (30982),107,2239.6999999999985,5,86.9,0.04672897196261682
109,Taco CSS (30651),367,7843.569999999998,5,82.17999999999999,0.013623978201634877
95,Taco CSS (30406),245,5618.91,5,69.14,0.02040816326530612
54,Taco CSS (26739),272,5814.720000000002,5,103.32,0.01838235294117647
22,Taco CSS (20299),131,3008.57,5,83.67,0.03816793893129771
132,Taco CSS (3292),354,7605.369999999994,5,130.1,0.014124293785310734
17,Taco CSS (19755),230,4706.150000000001,5,99.6,0.021739130434782608
110,Taco CSS (30866),132,2919.3699999999985,4,39.239999999999995,0.030303030303030304
116,Taco CSS (31390),359,7520.310000000002,4,63.2,0.011142061281337047
69,Taco CSS (26754),137,3005.3599999999988,4,117.96,0.029197080291970802
119,Taco CSS (31509),350,7025.869999999997,4,71.53,0.011428571428571429
122,Taco CSS (32031),154,3517.019999999999,4,94.91999999999999,0.025974025974025976
125,Taco CSS (32342),385,8401.180000000002,4,78.25,0.01038961038961039
20,Taco CSS (20212),317,7535.93,3,52.2,0.00946372239747634
3,Taco CSS (030949),59,1112.89,3,52.61,0.05084745762711865
137,Taco CSS (34814),158,3746.670000000001,3,63.81,0.0189873417721519
134,Taco CSS (3296),271,5910.029999999998,3,70.04,0.01107011070110701
45,Taco CSS (24656),121,2901.9099999999994,3,43.26,0.024793388429752067
98,Taco CSS (30410),154,3668.87,3,46.099999999999994,0.01948051948051948
64,Taco CSS (26749),253,5944.900000000001,3,48.81,0.011857707509881422
60,Taco CSS (26745),172,3771.0799999999986,3,37.89,0.01744186046511628
1,Taco CSS (030539),350,7143.480000000001,2,26.560000000000002,0.005714285714285714
68,Taco CSS (26753),118,2836.7200000000007,2,36.84,0.01694915254237288
89,Taco CSS (30400),223,5248.220000000002,2,38.21,0.008968609865470852
77,Taco CSS (27896),515,10746.760000000002,2,15.25,0.003883495145631068
51,Taco CSS (26736),194,4218.580000000001,2,52.019999999999996,0.010309278350515464
78,Taco CSS (27897),81,1867.93,2,44.79,0.024691358024691357
115,Taco CSS (31269),158,3261.0600000000004,2,28.020000000000003,0.012658227848101266
102,Taco CSS (30415),106,2306.3099999999995,1,20.84,0.009433962264150943
65,Taco CSS (26750),193,3961.3500000000013,1,10.97,0.0051813471502590676
70,Taco CSS (26755),203,4654.929999999999,1,19.06,0.0049261083743842365
101,Taco CSS (30414),12,248.64000000000001,0,0.0,0.0
34,Taco CSS (23271),249,5534.34,0,0.0,0.0
6,Taco CSS (032344),323,6070.980000000001,0,0.0,0.0
91,Taco CSS (30402),248,5439.259999999999,0,0.0,0.0
2,Taco CSS (030840),81,1625.3600000000006,0,0.0,0.0
126,Taco CSS (32343),282,6102.120000000002,0,0.0,0.0
