,created_at,total_orders,subtotal,revenue,total_discounts,avg_prep_time,avg_revenue,total_issues,percent_diff_rev
0,01,635,14355.300000000001,14271.73,561,14.67716535433071,22.47516535433071,41,
1,02,416,8334.290000000003,8164.520000000002,374,14.69951923076923,19.626250000000006,17,-42.79235944065644
2,03,487,10526.380000000001,10401.01,426,14.620123203285422,21.357310061601645,26,27.39279222783455
3,04,452,10264.44000000001,10118.820000000007,411,14.712389380530974,22.38676991150444,24,-2.7131019006807344
4,05,629,14926.029999999973,14791.809999999976,561,14.650238473767885,23.516391096979294,30,46.18117527537762
5,06,494,10444.880000000008,10375.25000000001,430,14.625506072874494,21.00253036437249,31,-29.858144473191405
6,07,464,10374.319999999998,10299.68,425,14.730603448275861,22.197586206896553,29,-0.728367991132828
7,08,670,14397.810000000014,14324.750000000015,592,14.723880597014926,21.380223880597036,32,39.07956363692867
8,09,657,13931.980000000003,13881.460000000003,599,14.74124809741248,21.128554033485546,26,-3.0945740763364897
9,10,1082,24553.690000000017,24367.510000000013,966,14.796672828096119,22.52080406654345,52,75.53996481638104
10,11,1748,39253.97999999996,39060.02999999995,1566,14.731051344743276,22.345554919908437,72,60.295532863226185
11,12,1431,33606.89000000003,33385.27000000003,1253,14.6680642907058,23.330027952480805,72,-14.528304253734373
12,13,2497,52120.440000000024,51777.33000000002,2244,14.73968762515018,20.73581497797358,125,55.09034373542575
13,14,2167,44090.45000000002,43766.570000000014,1948,14.700046146746654,20.196848177203513,99,-15.471558691805864
14,15,1635,34524.65,34319.12,1451,14.691131498470948,20.9902874617737,76,-21.585995886815002
15,16,1428,32062.859999999997,29244.1,1280,14.824929971988796,20.47906162464986,64,-14.787733485007784
16,17,1970,44163.11999999999,39238.21000000001,1762,14.703045685279188,19.917873096446705,83,34.1747908125058
17,18,3552,85981.31999999996,76577.81999999992,3272,14.734553089382123,21.559070945945923,208,95.16134910333551
18,19,2507,59138.76999999997,52587.909999999974,2289,14.740725967291583,20.97642999601116,143,-31.327491432897897
19,20,2643,57539.51000000007,53383.97000000007,2383,14.742716609912978,20.198248202799874,178,1.5137699900986608
20,21,2138,45413.74000000008,45048.3400000001,1847,14.674929840972872,21.07031805425636,124,-15.6144812759335
21,22,2624,54678.369999999995,54280.82999999998,2271,14.689405487804878,20.6862919207317,123,20.49462865890255
22,23,3352,70274.57000000014,69826.70000000011,2955,14.72255369928401,20.831354415274497,162,28.63970576721126
23,24,3314,70684.34000000004,70241.7100000001,2913,14.708811104405552,21.195446590223323,161,0.5943428516598659
24,25,3535,79621.52000000014,78643.98000000013,3182,14.714285714285714,22.247236209335256,173,11.961938284247383
25,26,3559,83205.96999999999,81955.38000000005,3201,14.696543973026131,23.027642596234912,185,4.210621079960496
26,27,3029,63734.50000000001,62881.42000000004,2644,14.6137339055794,20.759795311984167,136,-23.273591068701034
27,28,2787,60141.78999999998,59654.16000000001,2414,14.571223537854324,21.404434876210985,122,-5.132295040411029
28,29,4020,84757.21000000014,84269.52000000015,1860,14.66914805624483,20.96256716417914,132,41.26344248246917
29,30,4159,88218.53000000016,87854.18000000014,439,14.658244680851064,21.123871122866106,13,4.253803747784469
30,31,3651,78029.74000000008,77727.38000000006,41,14.682278827718433,21.289339906874847,0,-11.526827750256231
